scenario,old_accuracy,old_macro_f1,old_mae,old_pearson,optimized_accuracy,optimized_macro_f1,optimized_mae,optimized_pearson,accuracy_gain,macro_f1_gain,mae_reduction
vision_front_55,0.48626373626373626,0.48566838627930126,0.7284331321716309,0.44445065822989077,0.5824175824175825,0.5532385565252887,0.6714872717857361,0.5397975719660487,0.0961538461538462,0.0675701702459875,0.056945860385894775
vision_front_70,0.4766483516483517,0.4752543705461993,0.7300087809562683,0.4410862480340187,0.5741758241758241,0.5488704344523944,0.665861189365387,0.5413907317738548,0.09752747252747246,0.07361606390619507,0.06414759159088135
vision_middle_10,0.5054945054945055,0.5012052845148239,0.7242631912231445,0.44559960471320115,0.5769230769230769,0.5444329537794118,0.6786977648735046,0.5435534809666992,0.0714285714285714,0.043227669264587876,0.04556542634963989
vision_middle_25,0.5027472527472527,0.49969250717317104,0.7239780426025391,0.44642202736013964,0.5741758241758241,0.5408797992131326,0.6770342588424683,0.5439345580899779,0.0714285714285714,0.04118729203996152,0.0469437837600708
vision_middle_40,0.5,0.49785651450784335,0.7241279482841492,0.4453179305527505,0.5810439560439561,0.5473441768587399,0.673876166343689,0.5443781255757429,0.08104395604395609,0.04948766235089658,0.050251781940460205
vision_middle_55,0.49038461538461536,0.48955144943195134,0.7255577445030212,0.4418016174694502,0.5879120879120879,0.5557206237190694,0.671762228012085,0.5430185846715223,0.09752747252747257,0.06616917428711805,0.05379551649093628
vision_middle_70,0.4876373626373626,0.48706276121603115,0.725706160068512,0.4407054446158792,0.5865384615384616,0.5577900698451598,0.6681889295578003,0.544931236341273,0.09890109890109894,0.07072730862912863,0.05751723051071167
vision_back_10,0.489010989010989,0.4860075468505149,0.7288018465042114,0.43972364181770457,0.5796703296703297,0.5468123401821724,0.6783081889152527,0.5435907134098875,0.09065934065934073,0.0608047933316575,0.05049365758895874
vision_back_25,0.4766483516483517,0.4757547806767494,0.7310448288917542,0.4356297234799375,0.5810439560439561,0.5488018503611576,0.6762553453445435,0.5409929274111894,0.10439560439560441,0.07304706968440816,0.05478948354721069
vision_back_40,0.48214285714285715,0.4809968087815397,0.7329602837562561,0.4322669216072892,0.5796703296703297,0.5490982895203774,0.6736771464347839,0.5407482345765537,0.09752747252747257,0.0681014807388377,0.05928313732147217
vision_back_55,0.4793956043956044,0.4807238604003703,0.7344822883605957,0.432527097124207,0.5796703296703297,0.5489270374527156,0.6732168197631836,0.5381077052394817,0.10027472527472531,0.06820317705234535,0.06126546859741211
vision_back_70,0.46291208791208793,0.46711074194220253,0.7378272414207458,0.42954788269762123,0.5782967032967034,0.54871660895198,0.6725053191184998,0.5350548246601667,0.11538461538461542,0.08160586700977751,0.0653219223022461
text_audio_middle_40,0.4766483516483517,0.4675180663925653,0.7461947202682495,0.41023222636194445,0.5673076923076923,0.543649435517263,0.7068474888801575,0.4919284395896468,0.09065934065934061,0.07613136912469765,0.03934723138809204
text_vision_middle_40,0.4876373626373626,0.4818568337445102,0.7507067918777466,0.40524188892500035,0.5535714285714286,0.5259024226148732,0.7104263305664062,0.4892261263440886,0.06593406593406598,0.04404558887036297,0.04028046131134033
audio_vision_middle_40,0.5,0.49429965451800434,0.7150791883468628,0.4539366413114393,0.5947802197802198,0.5638607296731873,0.6686338782310486,0.5494255646638811,0.09478021978021978,0.069561075155183,0.04644531011581421
text_only,0.4478021978021978,0.4491748917972563,0.7330231666564941,0.4150051162979052,0.5645604395604396,0.5533022764397177,0.6755809783935547,0.544068964710774,0.11675824175824173,0.10412738464246146,0.05744218826293945
