sample_id,modality,modality_index,start_position,end_position_exclusive,masked_effective_positions,raw_zero_fraction,delta_predicted_class_probability,delta_strength
03,audio,1,6,9,3,0.0,-0.0009819269180297852,0.008825898170471191
03,audio,1,7,10,3,0.0,0.00048297643661499023,0.011781521141529083
03,audio,1,8,11,3,0.0,7.724761962890625e-05,0.01279836893081665
03,audio,1,9,12,3,0.0,-0.00025200843811035156,0.006794799119234085
03,audio,1,10,13,3,0.0,0.00018346309661865234,0.0030484087765216827
03,audio,1,11,14,3,0.0,-0.0012073516845703125,0.0073278434574604034
03,audio,1,12,15,3,0.0,-0.0009999573230743408,0.01612956076860428
03,audio,1,13,16,3,0.0,-0.0025223493576049805,0.01722068339586258
03,audio,1,14,17,3,0.0,-0.002735704183578491,0.016339607536792755
03,audio,1,15,18,3,0.0,-0.004070758819580078,0.004608176648616791
03,audio,1,16,19,3,0.0,-0.0016980171203613281,0.0036406144499778748
03,audio,1,17,20,3,0.0,-0.00017398595809936523,0.0046901702880859375
03,audio,1,18,21,3,0.0,0.0018788576126098633,0.006893672049045563
03,audio,1,19,22,3,0.0,0.0031881630420684814,0.006357967853546143
03,audio,1,20,23,3,0.0,0.006245076656341553,-0.0027777180075645447
03,audio,1,21,24,3,0.0,0.009507954120635986,-0.00385303795337677
03,audio,1,22,25,3,0.0,0.007593035697937012,-0.016685597598552704
03,audio,1,23,26,3,0.0,0.0030742287635803223,-0.026761528104543686
03,audio,1,24,27,3,0.0,-0.0012587010860443115,-0.02573377452790737
03,audio,1,25,28,3,0.0,-0.005234718322753906,-0.03333641216158867
03,audio,1,26,29,3,0.0,-0.0059375762939453125,-0.022179681807756424
03,audio,1,27,30,3,0.0,-0.0029421448707580566,0.005376126617193222
03,audio,1,28,31,3,0.0,-0.0012626051902770996,0.01524980366230011
03,audio,1,29,32,3,0.0,-0.0016322731971740723,0.010979875922203064
03,audio,1,30,33,3,0.0,-0.0016474127769470215,-0.004854626953601837
03,audio,1,31,34,3,0.0,-0.002024143934249878,-0.0017932988703250885
03,vision,2,1,4,3,0.0,0.00019431114196777344,0.007722117006778717
03,vision,2,2,5,3,0.0,0.0013303160667419434,0.01264779269695282
03,vision,2,3,6,3,0.0,0.0017655789852142334,0.0061791203916072845
03,vision,2,4,7,3,0.0,0.000800400972366333,-0.0035867802798748016
03,vision,2,5,8,3,0.0,0.0010235607624053955,-0.0026243478059768677
03,vision,2,6,9,3,0.0,0.0020247697830200195,-0.001247406005859375
03,vision,2,7,10,3,0.0,0.002490431070327759,-0.0011726990342140198
03,vision,2,8,11,3,0.0,0.0023672878742218018,-0.0019332394003868103
03,vision,2,9,12,3,0.0,0.0016192197799682617,-0.00021588057279586792
03,vision,2,10,13,3,0.0,0.0017306208610534668,-0.0012811720371246338
03,vision,2,11,14,3,0.0,0.001964181661605835,-0.0011402815580368042
03,vision,2,12,15,3,0.0,0.00234222412109375,0.000611867755651474
03,vision,2,13,16,3,0.0,0.002012491226196289,0.0027942433953285217
03,vision,2,14,17,3,0.0,0.0010040998458862305,0.004260655492544174
03,vision,2,15,18,3,0.0,-2.3871660232543945e-05,0.00033271685242652893
03,vision,2,16,19,3,0.0,-0.000625908374786377,-0.0008846819400787354
03,vision,2,17,20,3,0.0,-0.00029659271240234375,-0.0028814412653446198
03,vision,2,18,21,3,0.0,-6.29723072052002e-05,-0.005758494138717651
03,vision,2,19,22,3,0.0,-0.003491729497909546,0.0068940669298172
03,vision,2,20,23,3,0.0,-0.004531502723693848,0.011166848242282867
03,vision,2,21,24,3,0.0,-0.0034839212894439697,0.008268021047115326
03,vision,2,22,25,3,0.0,-4.9173831939697266e-05,-0.0007166638970375061
03,vision,2,23,26,3,0.0,0.0007758140563964844,-0.009436435997486115
03,vision,2,24,27,3,0.0,0.0022510886192321777,-0.004631608724594116
03,vision,2,25,28,3,0.0,0.0011969506740570068,-0.001630924642086029
03,vision,2,26,29,3,0.0,-7.18235969543457e-05,-0.0013536140322685242
03,vision,2,27,30,3,0.0,0.00041303038597106934,-0.0018034093081951141
03,vision,2,28,31,3,0.0,0.0010101795196533203,0.0006767436861991882
03,vision,2,29,32,3,0.0,0.0017099380493164062,0.002905607223510742
03,vision,2,30,33,3,0.0,0.0019312500953674316,0.004978787153959274
03,vision,2,31,34,3,0.0,0.0015620589256286621,0.005779065191745758
04,text,0,1,4,3,0.0,-0.0775442123413086,-0.1893010139465332
04,text,0,2,5,3,0.0,-0.07659566402435303,-0.1788179874420166
04,text,0,3,6,3,0.0,-0.06920117139816284,-0.16110527515411377
04,text,0,4,7,3,0.0,-0.00014019012451171875,0.00919485092163086
04,text,0,5,8,3,0.0,0.06972301006317139,0.18796873092651367
04,text,0,6,9,3,0.0,0.1273789405822754,0.36607420444488525
04,text,0,7,10,3,0.0,0.12281227111816406,0.3487979769706726
04,text,0,8,11,3,0.0,0.01712709665298462,0.03904753923416138
04,text,0,9,12,3,0.0,-0.0415189266204834,-0.10447835922241211
04,text,0,10,13,3,0.0,0.013193249702453613,0.03204035758972168
04,text,0,11,14,3,0.0,0.18180811405181885,0.20960569381713867
04,text,0,12,15,3,0.0,0.18249350786209106,0.15346288681030273
04,text,0,13,16,3,0.0,0.15768146514892578,0.07102620601654053
04,text,0,14,17,3,0.0,0.0710904598236084,0.056146204471588135
04,text,0,15,18,3,0.0,0.06192970275878906,0.12728863954544067
04,text,0,16,19,3,0.0,0.03960740566253662,0.08735644817352295
04,text,0,17,20,3,0.0,0.025806427001953125,0.03751027584075928
04,text,0,18,21,3,0.0,0.022697806358337402,0.03616112470626831
04,text,0,19,22,3,0.0,0.03732883930206299,0.08561724424362183
04,text,0,20,23,3,0.0,0.056022465229034424,0.12195241451263428
04,text,0,21,24,3,0.0,-0.01510477066040039,-0.07184123992919922
04,text,0,22,25,3,0.0,-0.062140464782714844,-0.19389736652374268
04,text,0,23,26,3,0.0,-0.12493062019348145,-0.3125338554382324
04,text,0,24,27,3,0.0,-0.0780569314956665,-0.18053650856018066
04,audio,1,1,4,3,0.0,0.0046765804290771484,0.01328134536743164
04,audio,1,2,5,3,0.0,0.00180894136428833,0.006157815456390381
04,audio,1,3,6,3,0.0,0.0005866289138793945,0.003063678741455078
04,audio,1,4,7,3,0.0,-0.0014508366584777832,-0.00450742244720459
04,audio,1,5,8,3,0.0,-0.003910362720489502,-0.010513901710510254
04,audio,1,6,9,3,0.0,-0.006687045097351074,-0.018306255340576172
04,audio,1,7,10,3,0.0,-0.0061151981353759766,-0.018627643585205078
04,audio,1,8,11,3,0.0,-0.0007181167602539062,0.0003809928894042969
04,audio,1,9,12,3,0.0,0.002902686595916748,0.01196068525314331
04,audio,1,10,13,3,0.0,0.003926634788513184,0.015474259853363037
04,audio,1,11,14,3,0.0,0.004539608955383301,0.01667165756225586
04,audio,1,12,15,3,0.0,0.0013812780380249023,0.00598907470703125
04,audio,1,13,16,3,0.0,0.002447783946990967,0.007374167442321777
04,audio,1,14,17,3,0.0,0.0048378705978393555,0.015408337116241455
04,audio,1,15,18,3,0.0,0.005513250827789307,0.017054080963134766
04,audio,1,16,19,3,0.0,0.005327820777893066,0.015505611896514893
04,audio,1,17,20,3,0.0,0.0003337860107421875,0.0005676746368408203
04,audio,1,18,21,3,0.0,-0.0013627409934997559,-0.004015326499938965
04,audio,1,19,22,3,0.0,0.0008032917976379395,0.0020130276679992676
04,audio,1,20,23,3,0.0,0.0033788681030273438,0.009139060974121094
04,audio,1,21,24,3,0.0,0.004331231117248535,0.012132108211517334
04,audio,1,22,25,3,0.0,0.002523183822631836,0.006838440895080566
04,audio,1,23,26,3,0.0,0.002110898494720459,0.0058678388595581055
04,audio,1,24,27,3,0.0,0.002204298973083496,0.005070686340332031
04,vision,2,1,4,3,0.0,-0.00333559513092041,-0.015104293823242188
04,vision,2,2,5,3,0.0,-0.00508725643157959,-0.02162379026412964
04,vision,2,3,6,3,0.0,-0.0051389336585998535,-0.01783597469329834
04,vision,2,4,7,3,0.0,-0.00285416841506958,-0.009614229202270508
